"policy_id","region","total_policy_tiv","location_count"
"POL00206","South","9459742","2"
"POL00244","East","8688884","2"
"POL00275","West","8580608","2"
"POL00209","East","7880171","2"
"POL00065","East","7532203","2"
"POL00019","South","7352456","2"
"POL00250","East","7036109","2"
"POL00061","East","6884486","2"
"POL00147","East","6649767","3"
"POL00092","North","6574806","2"
"POL00005","South","6572758","2"
"POL00158","East","6523444","2"
"POL00141","South","5543871","1"
"POL00142","South","5509885","1"
"POL00304","North","5387733","1"
"POL00133","Central","5368226","1"
"POL00276","West","5339805","1"
"POL00128","West","5330686","1"
"POL00331","South","5319970","1"
"POL00003","Central","5308231","1"
"POL00235","West","5306433","1"
"POL00113","East","5305952","2"
"POL00150","East","5230178","3"
"POL00036","East","5120767","2"
"POL00278","North","5097254","1"
"POL00155","South","5092492","1"
"POL00233","West","5052187","1"
"POL00255","West","5038288","1"
"POL00237","Central","5016114","1"
"POL00082","Central","4941294","2"
"POL00042","East","4900677","1"
"POL00116","North","4884163","1"
"POL00124","East","4875499","1"
"POL00229","East","4875432","2"
"POL00060","East","4851827","1"
"POL00206","East","4829063","1"
"POL00121","West","4821543","1"
"POL00321","East","4813178","1"
"POL00211","East","4810977","1"
"POL00187","West","4804316","1"
"POL00051","East","4749049","1"
"POL00113","South","4748999","1"
"POL00241","East","4747774","1"
"POL00037","West","4746472","1"
"POL00089","West","4742587","1"
"POL00315","Central","4724936","1"
"POL00308","East","4711593","1"
"POL00028","North","4695479","1"
"POL00232","West","4650638","1"
"POL00281","West","4646462","1"
"POL00129","North","4641647","1"
"POL00298","South","4636696","1"
"POL00200","North","4635683","1"
"POL00348","North","4626664","1"
"POL00340","East","4617602","1"
"POL00153","East","4602941","1"
"POL00021","East","4565196","1"
"POL00139","West","4560486","1"
"POL00054","Central","4555707","1"
"POL00217","West","4555646","1"
"POL00340","South","4538058","1"
"POL00151","East","4536750","1"
"POL00068","West","4521299","1"
"POL00152","North","4519564","1"
"POL00011","North","4509854","1"
"POL00275","North","4503238","1"
"POL00125","North","4494504","1"
"POL00088","South","4458962","1"
"POL00032","North","4430631","1"
"POL00148","North","4425723","1"
"POL00162","East","4425625","1"
"POL00248","Central","4413589","1"
"POL00216","Central","4392679","1"
"POL00106","Central","4381747","1"
"POL00280","East","4370726","1"
"POL00074","Central","4310254","1"
"POL00163","North","4252680","1"
"POL00015","West","4234768","1"
"POL00226","East","4234731","1"
"POL00029","South","4222112","1"
"POL00009","East","4208426","2"
"POL00336","East","4201047","1"
"POL00260","Central","4194616","1"
"POL00144","South","4178826","1"
"POL00165","Central","4151843","1"
"POL00272","East","4149674","2"
"POL00057","South","4097130","1"
"POL00239","North","4088152","1"
"POL00200","East","4082605","1"
"POL00054","West","4064987","1"
"POL00303","East","4063853","1"
"POL00143","South","4061322","2"
"POL00017","East","4051072","1"
"POL00078","West","4048444","2"
"POL00095","South","4045933","1"
"POL00097","North","4045816","1"
"POL00013","South","4005181","1"
"POL00144","East","3976887","1"
"POL00138","South","3973545","1"
"POL00077","Central","3948942","1"
"POL00232","East","3867409","1"
"POL00296","South","3814246","1"
"POL00024","East","3807124","1"
"POL00218","South","3806430","1"
"POL00213","East","3796344","1"
"POL00161","North","3796012","1"
"POL00311","East","3787867","1"
"POL00155","North","3768413","1"
"POL00162","West","3763652","1"
"POL00273","East","3763266","1"
"POL00276","Central","3753954","1"
"POL00292","West","3751598","1"
"POL00258","South","3750241","1"
"POL00188","East","3745685","1"
"POL00134","East","3722486","1"
"POL00342","South","3718837","1"
"POL00275","Central","3715361","1"
"POL00334","Central","3706983","1"
"POL00237","North","3691297","1"
"POL00029","Central","3681161","1"
"POL00100","East","3668919","1"
"POL00118","South","3649630","1"
"POL00010","East","3637687","1"
"POL00274","South","3620129","1"
"POL00278","East","3615665","1"
"POL00167","East","3610294","1"
"POL00007","East","3573994","1"
"POL00349","Central","3557015","1"
"POL00308","North","3552451","1"
"POL00185","East","3544013","1"
"POL00004","South","3528546","1"
"POL00025","West","3513576","1"
"POL00128","East","3486913","1"
"POL00073","West","3454402","1"
"POL00057","West","3453422","1"
"POL00275","East","3446618","1"
"POL00114","North","3436806","1"
"POL00267","South","3435725","1"
"POL00064","South","3388946","1"
"POL00254","South","3383283","1"
"POL00059","East","3371147","1"
"POL00091","South","3355445","1"
"POL00220","East","3309361","1"
"POL00227","South","3304243","1"
"POL00112","East","3295225","1"
"POL00265","West","3285749","1"
"POL00062","West","3260953","1"
"POL00127","North","3247999","1"
"POL00291","South","3221125","1"
"POL00092","Central","3168330","1"
"POL00125","South","3165838","1"
"POL00215","East","3154677","1"
"POL00103","North","3144835","1"
"POL00264","North","3130566","1"
"POL00043","North","3104823","1"
"POL00117","East","3077879","1"
"POL00043","East","3055685","1"
"POL00161","East","3041978","1"
"POL00056","West","3039965","1"
"POL00305","Central","3011089","1"
"POL00253","South","3010055","1"
"POL00270","West","2990242","1"
"POL00142","Central","2981839","1"
"POL00011","Central","2981039","1"
"POL00252","South","2977912","1"
"POL00023","East","2975498","1"
"POL00014","East","2961947","1"
"POL00176","Central","2958533","1"
"POL00290","North","2944350","1"
"POL00005","West","2937213","1"
"POL00318","East","2932846","1"
"POL00332","Central","2918957","1"
"POL00289","East","2913998","1"
"POL00323","West","2910636","1"
"POL00084","North","2909289","1"
"POL00327","East","2908287","1"
