HazardZoneID,Region,WindSpeed_1in100_mph,FloodDepth_1in100_m,PGA_1in475_g,WildfireScore_0_100,HailScore_0_100,CompositeHazardScore,HazardBand
HZ-N-01,North,56,0.1,0.127,29,27,22.3,Low
HZ-N-02,North,107,1.82,0.31,70,38,52.3,Moderate
HZ-N-03,North,87,0.82,0.254,32,11,31.7,Severe
HZ-N-04,North,66,1.96,0.258,14,50,35.7,Moderate
HZ-N-05,North,86,0.45,0.235,6,7,23.7,Severe
HZ-N-06,North,68,1.98,0.067,42,5,30.5,Moderate
HZ-N-07,North,97,1.79,0.296,27,29,40.3,Moderate
HZ-N-08,North,78,2.02,0.159,24,14,32.2,Moderate
HZ-N-09,North,94,1.47,0.312,59,48,48,High
HZ-N-10,North,68,2.07,0.239,39,31,38.2,Low
HZ-N-11,North,81,1.81,0.151,29,57,39,Severe
HZ-N-12,North,71,1.32,0.23,55,7,34.8,Severe
HZ-N-13,North,63,1.46,0.101,19,12,24.6,Moderate
HZ-N-14,North,105,1.07,0.089,46,15,35.2,High
HZ-N-15,North,98,1.57,0.252,41,39,42.8,High
HZ-N-16,North,73,1.88,0.114,20,30,31.3,Moderate
HZ-N-17,North,60,1.22,0.189,21,38,29.4,Low
HZ-N-18,North,85,1.05,0.066,9,58,30.4,Severe
HZ-N-19,North,66,0.18,0.252,13,20,23,Severe
HZ-N-20,North,94,0.82,0.266,61,43,43.7,Low
HZ-S-01,South,154,4.2,0.275,29,31,60.4,High
HZ-S-02,South,75,2.56,0.334,48,37,46.5,Moderate
HZ-S-03,South,114,2.08,0.319,12,55,45.8,Severe
HZ-S-04,South,89,4.26,0.192,33,28,48.6,Moderate
HZ-S-05,South,112,2.96,0.17,61,13,49.4,Moderate
HZ-S-06,South,147,2.38,0.208,23,75,55,High
HZ-S-07,South,77,0.5,0.051,7,84,29.8,Moderate
HZ-S-08,South,111,1.67,0.076,18,92,44.5,Moderate
HZ-S-09,South,70,1.72,0.21,54,77,46.2,Low
HZ-S-10,South,98,3.43,0.041,14,7,35.9,Severe
HZ-S-11,South,143,2.9,0.12,54,62,58.9,Moderate
HZ-S-12,South,132,2.76,0.14,63,66,59.4,Moderate
HZ-S-13,South,128,2.41,0.145,23,41,45.5,Moderate
HZ-S-14,South,119,4.5,0.312,52,7,58,Severe
HZ-S-15,South,108,0.65,0.177,34,56,39.7,Moderate
HZ-S-16,South,150,1.59,0.331,58,58,59.3,Severe
HZ-S-17,South,127,2,0.154,51,48,50.4,High
HZ-S-18,South,155,1.79,0.261,31,36,50.7,Moderate
HZ-S-19,South,94,2.56,0.333,51,64,54.2,Severe
HZ-S-20,South,117,2.9,0.098,23,65,48.4,Low
HZ-E-01,East,139,2.94,0.126,57,8,51.1,Moderate
HZ-E-02,East,97,1.52,0.315,54,64,50.2,Severe
HZ-E-03,East,93,4.24,0.038,31,29,45.3,Moderate
HZ-E-04,East,104,4.43,0.248,24,46,54,Severe
HZ-E-05,East,143,3.52,0.093,57,25,56,Severe
HZ-E-06,East,101,3.91,0.072,67,25,52.5,Low
HZ-E-07,East,82,3.54,0.057,6,63,41,Low
HZ-E-08,East,112,3.84,0.13,50,17,50.7,Moderate
HZ-E-09,East,97,1.38,0.051,45,42,38.3,Severe
HZ-E-10,East,130,1.52,0.086,43,11,40,Moderate
