PolicyID,UnderwriterID,PolicyType,PolicyLimit_USD,Deductible_USD,AttachmentPoint_USD,ParticipationShare,LimitBasis,PolicyStatus,TIV,Number of Stories
POL00001,UW009,Commercial Package,25000000,10000,100000,1,Aggregate,Active,1276768,7
POL00002,UW002,Property,2500000,50000,500000,1,Aggregate,Active,3225425,20
POL00003,UW012,Property,10000000,25000,250000,0.75,Aggregate,Review,5308231,12
POL00004,UW012,Property,5000000,250000,250000,0.8,Occurrence,Active,3528546,9
POL00005,UW004,Commercial Package,25000000,25000,100000,1,Aggregate,Active,3511037,2
POL00006,UW003,Industrial,5000000,250000,500000,0.5,Aggregate,Active,3773264,6
POL00007,UW002,Commercial Package,25000000,100000,250000,0.9,Aggregate,Active,4680983,5
POL00008,UW008,Property,5000000,25000,0,0.8,Occurrence,Active,1617569,4
POL00009,UW009,Property,5000000,50000,500000,1,Aggregate,Active,3824451,14
POL00010,UW011,Property,10000000,50000,100000,1,Occurrence,Active,2706721,18
POL00011,UW004,Commercial Package,1000000,25000,250000,1,Aggregate,Active,4509854,16
POL00012,UW005,Property,5000000,50000,100000,0.75,Occurrence,Review,1860019,7
POL00013,UW008,Industrial,1000000,50000,100000,0.9,Aggregate,Active,3295601,9
POL00014,UW005,Commercial Package,25000000,100000,0,0.8,Aggregate,Active,1814551,19
POL00015,UW010,Property,25000000,100000,100000,0.8,Aggregate,Active,4317137,9
POL00016,UW006,Property,1000000,10000,500000,0.8,Aggregate,Review,1082120,13
POL00017,UW007,Property,25000000,10000,250000,0.9,Aggregate,Active,4404651,7
POL00018,UW009,Property,5000000,50000,0,1,Occurrence,Review,3629442,5
POL00019,UW002,Industrial,1000000,10000,100000,0.75,Occurrence,Active,3962981,12
POL00020,UW002,Commercial Package,1000000,50000,250000,0.8,Aggregate,Active,1241873,5
POL00021,UW009,Commercial Package,10000000,100000,0,1,Aggregate,Active,4565196,5
POL00022,UW003,Property,25000000,10000,500000,0.75,Aggregate,Active,4970331,14
POL00023,UW001,Industrial,2500000,10000,0,1,Occurrence,Review,2007631,12
POL00024,UW003,Property,1000000,10000,100000,0.75,Aggregate,Active,1203662,19
POL00025,UW008,Property,10000000,100000,250000,0.5,Aggregate,Active,2129368,2
POL00026,UW004,Property,1000000,25000,0,1,Aggregate,Active,4726645,7
POL00027,UW009,Property,5000000,10000,250000,1,Aggregate,Active,2706010,1
POL00028,UW005,Industrial,2500000,250000,250000,0.5,Aggregate,Review,2968148,17
POL00029,UW006,Property,2500000,25000,250000,1,Aggregate,Active,965986,5
POL00030,UW001,Commercial Package,10000000,10000,500000,0.8,Aggregate,Active,4067854,6
POL00031,UW002,Industrial,2500000,10000,500000,0.5,Occurrence,Active,1518000,12
POL00032,UW006,Commercial Package,25000000,50000,250000,0.75,Occurrence,Active,2304971,15
POL00033,UW005,Property,25000000,50000,0,0.75,Occurrence,Active,4179759,8
POL00034,UW012,Commercial Package,5000000,25000,500000,0.9,Aggregate,Review,3408858,2
POL00035,UW009,Industrial,25000000,25000,500000,0.9,Aggregate,Active,3683702,11
POL00036,UW001,Industrial,1000000,250000,0,0.5,Occurrence,Active,2767860,15
POL00037,UW007,Industrial,5000000,10000,500000,0.8,Occurrence,Active,4746472,11
POL00038,UW007,Industrial,1000000,50000,100000,0.75,Aggregate,Active,2157118,9
POL00039,UW001,Property,5000000,100000,250000,0.5,Aggregate,Active,5274022,20
POL00040,UW011,Industrial,5000000,100000,0,0.75,Occurrence,Review,2560698,20
POL00041,UW012,Property,2500000,10000,0,0.5,Aggregate,Active,4078059,15
POL00042,UW002,Industrial,5000000,10000,500000,1,Occurrence,Active,4453073,6
POL00043,UW001,Commercial Package,1000000,100000,0,0.9,Aggregate,Review,3055685,7
POL00044,UW011,Property,10000000,25000,0,0.5,Aggregate,Active,2902693,3
POL00045,UW011,Commercial Package,10000000,25000,0,0.8,Occurrence,Active,4102652,19
POL00046,UW009,Industrial,10000000,10000,500000,0.5,Aggregate,Active,2129752,1
POL00048,UW010,Commercial Package,1000000,50000,0,0.8,Aggregate,Review,3676728,10
POL00049,UW012,Industrial,25000000,25000,250000,0.8,Occurrence,Active,1370303,5
POL00050,UW006,Commercial Package,5000000,100000,500000,0.75,Aggregate,Active,3782869,14
POL00051,UW006,Commercial Package,2500000,100000,500000,1,Occurrence,Active,1933097,12
POL00052,UW008,Industrial,2500000,50000,500000,0.8,Occurrence,Active,3503521,14
POL00053,UW009,Industrial,5000000,250000,250000,0.75,Occurrence,Active,4477590,9
POL00054,UW002,Industrial,2500000,100000,500000,0.5,Occurrence,Active,1954980,10
POL00055,UW012,Property,25000000,10000,100000,0.8,Aggregate,Review,2749389,7
POL00056,UW009,Industrial,1000000,50000,500000,0.8,Aggregate,Active,4285753,17
POL00057,UW004,Industrial,25000000,50000,0,0.9,Aggregate,Active,4097130,14
POL00058,UW008,Property,2500000,10000,0,1,Occurrence,Active,3273519,19
POL00059,UW009,Industrial,2500000,100000,100000,0.8,Occurrence,Active,4996213,20
POL00060,UW002,Property,1000000,10000,250000,0.5,Occurrence,Active,946364,6
POL00061,UW007,Commercial Package,1000000,50000,0,0.9,Aggregate,Active,2821061,17
POL00062,UW006,Property,25000000,50000,500000,0.8,Aggregate,Review,1917611,7
POL00063,UW011,Commercial Package,25000000,250000,0,0.9,Occurrence,Review,1424379,20
POL00064,UW012,Commercial Package,5000000,50000,250000,0.5,Aggregate,Active,3579000,6
POL00065,UW011,Commercial Package,10000000,250000,250000,1,Occurrence,Review,4131379,7
POL00066,UW005,Industrial,1000000,100000,500000,0.5,Occurrence,Active,3157263,19
POL00067,UW012,Commercial Package,2500000,10000,500000,0.9,Occurrence,Review,3147032,5
POL00068,UW004,Industrial,1000000,50000,500000,0.8,Aggregate,Active,614489,3
POL00069,UW009,Commercial Package,1000000,25000,0,1,Occurrence,Active,2498718,14
POL00070,UW009,Industrial,10000000,50000,500000,1,Occurrence,Active,2037378,16
POL00071,UW003,Commercial Package,25000000,10000,500000,1,Aggregate,Active,1244243,20
POL00072,UW007,Property,1000000,50000,250000,1,Occurrence,Active,5240905,17
POL00073,UW001,Commercial Package,2500000,100000,100000,0.9,Occurrence,Review,3454402,20
POL00074,UW006,Industrial,1000000,50000,100000,0.75,Aggregate,Active,2374097,17
POL00075,UW003,Property,10000000,10000,100000,0.5,Occurrence,Review,2317216,13
POL00076,UW012,Industrial,10000000,50000,0,0.9,Aggregate,Active,4253840,20
POL00077,UW007,Industrial,10000000,100000,250000,0.5,Aggregate,Active,3948942,14
POL00078,UW008,Commercial Package,1000000,10000,250000,0.8,Occurrence,Active,2287592,15
POL00079,UW010,Property,1000000,10000,0,0.75,Occurrence,Review,2243322,13
POL00080,UW008,Property,25000000,50000,250000,1,Occurrence,Review,3918511,10
POL00082,UW004,Property,1000000,250000,100000,0.5,Aggregate,Active,2370456,11
POL00083,UW009,Property,10000000,10000,0,0.8,Occurrence,Active,3890658,19
POL00084,UW003,Commercial Package,25000000,250000,250000,0.5,Occurrence,Review,2909289,20
POL00085,UW008,Property,2500000,25000,500000,0.9,Occurrence,Active,1294404,19
POL00086,UW003,Industrial,10000000,250000,0,1,Occurrence,Active,1512407,2
POL00087,UW010,Property,1000000,100000,0,1,Occurrence,Review,3086461,20
POL00088,UW001,Commercial Package,5000000,25000,500000,0.8,Occurrence,Active,2019544,1
POL00089,UW007,Commercial Package,10000000,10000,250000,0.75,Occurrence,Active,4742587,19
POL00090,UW011,Industrial,10000000,250000,500000,1,Occurrence,Active,3009165,1
POL00091,UW002,Commercial Package,25000000,250000,500000,0.8,Occurrence,Review,1418292,1
POL00092,UW011,Property,1000000,250000,100000,0.5,Aggregate,Active,3356708,12
POL00095,UW005,Industrial,10000000,50000,250000,0.9,Aggregate,Active,2921034,18
POL00097,UW012,Industrial,10000000,250000,500000,0.9,Occurrence,Review,4828089,2
POL00098,UW009,Industrial,5000000,10000,250000,0.9,Occurrence,Active,2254631,13
POL00099,UW006,Commercial Package,5000000,50000,100000,0.8,Occurrence,Active,617163,6
POL00100,UW009,Industrial,5000000,50000,250000,0.75,Aggregate,Active,3668919,7
POL00103,UW010,Property,5000000,250000,100000,0.9,Aggregate,Active,3144835,11
POL00105,UW004,Commercial Package,5000000,250000,250000,1,Occurrence,Active,2837682,1
POL00106,UW003,Industrial,5000000,25000,250000,0.75,Aggregate,Active,2205864,16
POL00108,UW010,Commercial Package,2500000,100000,250000,0.9,Aggregate,Active,3198697,18
POL00109,UW002,Commercial Package,5000000,250000,250000,0.5,Aggregate,Active,2166413,6
POL00111,UW008,Industrial,1000000,25000,500000,0.8,Aggregate,Review,2473195,7
POL00112,UW011,Commercial Package,2500000,50000,500000,0.5,Occurrence,Review,3295225,12
POL00113,UW003,Property,10000000,100000,0,0.8,Occurrence,Active,3480851,17
POL00114,UW002,Industrial,1000000,10000,250000,0.5,Aggregate,Active,2482217,15
POL00116,UW011,Industrial,1000000,100000,0,0.75,Occurrence,Active,2645669,10
POL00117,UW005,Commercial Package,1000000,50000,250000,1,Occurrence,Active,2194857,19
POL00118,UW009,Commercial Package,2500000,250000,250000,1,Occurrence,Active,3649630,19
POL00119,UW004,Property,1000000,250000,250000,1,Aggregate,Active,1396588,1
POL00120,UW002,Industrial,25000000,250000,100000,0.5,Aggregate,Review,2884417,15
POL00121,UW004,Property,1000000,10000,500000,0.75,Aggregate,Active,4821543,6
POL00123,UW001,Property,2500000,25000,0,0.8,Aggregate,Review,4601677,16
POL00124,UW004,Property,25000000,250000,500000,0.9,Occurrence,Active,4875499,9
POL00125,UW012,Commercial Package,10000000,100000,100000,0.9,Aggregate,Active,3165838,4
POL00126,UW007,Industrial,25000000,50000,500000,0.75,Aggregate,Active,5212058,15
POL00127,UW008,Industrial,1000000,100000,500000,1,Occurrence,Active,2586809,12
POL00128,UW003,Commercial Package,2500000,10000,500000,1,Occurrence,Active,5330686,4
POL00129,UW004,Industrial,5000000,50000,250000,0.9,Aggregate,Active,2309013,20
POL00130,UW011,Industrial,10000000,250000,0,0.9,Occurrence,Active,1014755,9
POL00132,UW006,Commercial Package,10000000,10000,250000,0.9,Occurrence,Review,1391754,10
POL00133,UW007,Commercial Package,10000000,100000,0,0.9,Aggregate,Active,5368226,5
POL00134,UW003,Property,5000000,50000,500000,0.8,Occurrence,Active,2195010,11
POL00135,UW004,Property,1000000,100000,0,0.8,Occurrence,Active,3317929,20
POL00136,UW002,Industrial,25000000,250000,250000,0.5,Aggregate,Review,1836155,3
POL00137,UW005,Property,2500000,50000,500000,0.75,Occurrence,Review,3469517,8
POL00138,UW004,Property,5000000,25000,0,1,Occurrence,Active,3469937,19
POL00139,UW003,Property,5000000,250000,500000,0.9,Occurrence,Active,4491646,19
POL00140,UW005,Property,25000000,10000,0,0.5,Occurrence,Review,2284864,5
POL00141,UW009,Property,25000000,50000,100000,0.75,Occurrence,Active,2664052,20
POL00142,UW009,Industrial,5000000,25000,0,0.8,Occurrence,Review,2981839,8
POL00143,UW003,Property,2500000,25000,500000,0.5,Occurrence,Active,1006700,19
POL00144,UW008,Property,25000000,50000,100000,0.9,Occurrence,Active,3976887,17
POL00145,UW007,Property,2500000,250000,0,0.5,Occurrence,Active,4704133,20
POL00146,UW009,Industrial,10000000,250000,500000,0.9,Aggregate,Review,1735972,17
POL00147,UW005,Industrial,25000000,50000,500000,1,Aggregate,Active,4770826,18
POL00148,UW004,Property,25000000,100000,0,0.75,Aggregate,Active,1460332,9
POL00149,UW007,Commercial Package,1000000,250000,500000,0.9,Aggregate,Active,3591516,9
POL00150,UW004,Commercial Package,5000000,100000,0,0.75,Occurrence,Review,1784270,16
POL00151,UW004,Property,25000000,25000,500000,0.8,Occurrence,Active,4185698,1
POL00152,UW008,Industrial,10000000,50000,500000,0.9,Aggregate,Active,4519564,15
POL00153,UW001,Property,2500000,100000,500000,0.75,Occurrence,Active,4225941,6
POL00154,UW008,Commercial Package,5000000,50000,250000,0.5,Aggregate,Active,4691468,11
