LocationID,AccountID,PolicyID,Region,State,PostalCode,Latitude,Longitude,HazardZoneID,Occupancy,ConstructionCode,YearBuilt,NumberOfStories,BuildingTIV_USD,ContentsTIV_USD,BusinessInterruptionTIV_USD,TotalTIV_USD
LOC000001,ACC0023,POL00303,East,NJ,65302,35.78569,-73.8447,HZ-E-18,Residential,WOOD,1961,7,3210288,596778,256787,4063853
LOC000002,ACC0057,POL00230,South,LA,87236,31.44418,-85.9735,HZ-S-14,Industrial,WOOD,1970,14,211299,1197016,208496,1616811
LOC000003,ACC0155,POL00136,South,FL,15695,25.83471,-98.06567,HZ-S-12,Hospitality,WOOD,1998,3,1003091,725889,107175,1836155
LOC000004,ACC0075,POL00041,East,NC,40512,35.53831,-78.51311,HZ-E-08,Residential,CONCRETE,1985,15,2694259,778403,605397,4078059
LOC000005,ACC0156,POL00326,East,VA,32431,35.67606,-77.13116,HZ-E-03,Commercial,MASONRY,2009,13,782220,796325,372528,1951073
LOC000006,ACC0059,POL00017,South,LA,51347,31.16153,-83.14296,HZ-S-02,Hospitality,STEEL,1958,7,2986360,1188008,230283,4404651
LOC000007,ACC0037,POL00136,Central,OK,28301,40.89895,-94.06552,HZ-C-15,Commercial,STEEL,2024,14,3775752,679927,222955,4678634
LOC000008,ACC0029,POL00079,Central,MO,92240,39.58574,-98.63636,HZ-C-02,Commercial,CONCRETE,1958,13,1618323,479948,145051,2243322
LOC000009,ACC0175,POL00275,East,VA,44973,40.88624,-78.91963,HZ-E-04,Industrial,WOOD,1987,14,2319266,547253,580099,3446618
LOC000010,ACC0161,POL00153,North,NY,93748,43.80981,-74.92318,HZ-N-04,Commercial,MASONRY,1997,6,3128673,572366,524902,4225941
LOC000011,ACC0079,POL00123,East,NC,17592,36.59325,-78.86366,HZ-E-12,Commercial,WOOD,1960,16,3952440,21199,628038,4601677
LOC000012,ACC0068,POL00271,West,WA,89507,42.55601,-115.47836,HZ-W-06,Hospitality,MASONRY,2019,7,3312142,283738,134628,3730508
LOC000013,ACC0058,POL00033,West,OR,54313,46.39383,-119.93662,HZ-W-08,Residential,MASONRY,2025,8,2917259,803119,459381,4179759
LOC000014,ACC0019,POL00264,North,PA,41195,40.337,-79.68587,HZ-N-11,Industrial,CONCRETE,1977,18,2747037,143467,240062,3130566
LOC000015,ACC0025,POL00050,North,PA,96374,43.9231,-71.92503,HZ-N-07,Hospitality,STEEL,2004,14,2516806,1011262,254801,3782869
LOC000016,ACC0064,POL00099,East,NC,34931,37.22097,-76.62488,HZ-E-04,Hospitality,MASONRY,2004,6,327210,226397,63556,617163
LOC000017,ACC0013,POL00334,South,FL,80855,32.2722,-82.88066,HZ-S-04,Residential,WOOD,1980,6,3767859,178093,464656,4410608
LOC000018,ACC0068,POL00233,East,VA,47388,35.3171,-78.98491,HZ-E-13,Hospitality,CONCRETE,1969,7,996521,861042,61483,1919046
LOC000019,ACC0123,POL00258,South,FL,79615,31.73178,-98.85669,HZ-S-19,Commercial,WOOD,2015,3,2529258,1157065,63918,3750241
LOC000020,ACC0064,POL00297,Central,IL,87924,42.75637,-93.94337,HZ-C-19,Residential,WOOD,2003,19,2595758,162524,708011,3466293
