"policy_id","policy_limit_usd","total_policy_tiv","location_count","severe_tiv","exposure_to_limit_ratio"
"POL00097","10000000","30643573","7","4045816","3.0643573000000000"
"POL00200","25000000","27770201","7","8718288","1.1108080400000000"
"POL00275","2500000","26042029","7","20245825","10.4168116000000000"
"POL00244","2500000","24161351","7","13246568","9.6645404000000000"
"POL00112","2500000","22662278","7","3295225","9.0649112000000000"
"POL00059","2500000","22037015","5","3371147","8.8148060000000000"
"POL00206","5000000","21377434","6","15007955","4.2754868000000000"
"POL00310","25000000","21111895","7","0","0.84447580000000000000"
"POL00042","5000000","20779739","5","4900677","4.1559478000000000"
"POL00058","2500000","20103783","6","1514620","8.0415132000000000"
"POL00331","2500000","19638970","5","8126336","7.8555880000000000"
"POL00146","10000000","19310051","7","2396880","1.9310051000000000"
"POL00308","1000000","19125120","6","10043461","19.1251200000000000"
"POL00233","1000000","19094045","5","6971233","19.0940450000000000"
"POL00338","10000000","18788540","6","0","1.8788540000000000"
"POL00141","25000000","18677366","6","9283839","0.74709464000000000000"
"POL00241","1000000","18090461","4","4747774","18.0904610000000000"
"POL00252","10000000","18056858","6","5479986","1.8056858000000000"
"POL00007","25000000","18016086","5","3573994","0.72064344000000000000"
"POL00348","5000000","17978735","6","6578974","3.5957470000000000"
"POL00276","2500000","17632690","5","9093759","7.0530760000000000"
"POL00251","2500000","17378063","5","0","6.9512252000000000"
"POL00125","10000000","17143021","5","7660342","1.7143021000000000"
"POL00135","1000000","16869689","5","0","16.8696890000000000"
"POL00281","10000000","16867001","5","7110808","1.6867001000000000"
"POL00092","1000000","16639040","5","9743136","16.6390400000000000"
"POL00232","1000000","16628995","5","10915852","16.6289950000000000"
"POL00028","2500000","16454333","5","7026268","6.5817332000000000"
"POL00258","5000000","16395741","5","3750241","3.2791482000000000"
"POL00137","2500000","16212523","4","0","6.4850092000000000"
"POL00009","5000000","15942582","5","4208426","3.1885164000000000"
"POL00154","5000000","15793791","5","0","3.1587582000000000"
"POL00048","1000000","15641253","5","2582488","15.6412530000000000"
"POL00288","10000000","15589845","4","0","1.5589845000000000"
"POL00148","25000000","15587656","4","5886055","0.62350624000000000000"
"POL00226","25000000","15568142","6","6688532","0.62272568000000000000"
"POL00155","25000000","15558562","4","8860905","0.62234248000000000000"
"POL00248","10000000","15555062","4","4413589","1.5555062000000000"
"POL00129","5000000","15444067","5","6950660","3.0888134000000000"
"POL00036","1000000","15338404","6","7888627","15.3384040000000000"
"POL00149","1000000","15271207","4","1557907","15.2712070000000000"
"POL00257","1000000","15209240","4","0","15.2092400000000000"
"POL00032","25000000","15184859","5","4430631","0.60739436000000000000"
"POL00238","2500000","15121111","6","2638822","6.0484444000000000"
"POL00218","10000000","15070431","4","3806430","1.5070431000000000"
"POL00054","2500000","14988151","5","8620694","5.9952604000000000"
"POL00147","25000000","14920763","5","6649767","0.59683052000000000000"
"POL00029","2500000","14909281","5","11505935","5.9637124000000000"
"POL00065","10000000","14835223","4","7532203","1.4835223000000000"
"POL00333","1000000","14773801","5","2410915","14.7738010000000000"
"POL00064","5000000","14758229","4","3388946","2.9516458000000000"
"POL00145","2500000","14742294","4","0","5.8969176000000000"
"POL00315","1000000","14728435","4","4724936","14.7284350000000000"
"POL00072","1000000","14704067","4","0","14.7040670000000000"
"POL00255","25000000","14699521","4","7132788","0.58798084000000000000"
"POL00019","1000000","14694236","4","7352456","14.6942360000000000"
"POL00006","5000000","14458101","4","1035890","2.8916202000000000"
"POL00287","25000000","14313317","4","0","0.57253268000000000000"
"POL00312","1000000","14307679","6","0","14.3076790000000000"
"POL00173","2500000","14291861","5","3979728","5.7167444000000000"
"POL00256","25000000","14218662","4","1839576","0.56874648000000000000"
"POL00050","5000000","14008923","5","4675862","2.8017846000000000"
"POL00326","25000000","13890062","5","4245964","0.55560248000000000000"
"POL00013","1000000","13843607","4","4005181","13.8436070000000000"
"POL00128","2500000","13739647","4","8817599","5.4958588000000000"
"POL00296","1000000","13735214","3","3814246","13.7352140000000000"
"POL00311","10000000","13692645","4","3787867","1.3692645000000000"
"POL00144","25000000","13657683","4","8155713","0.54630732000000000000"
"POL00010","10000000","13579487","4","3637687","1.3579487000000000"
"POL00303","5000000","13484831","4","4063853","2.6969662000000000"
"POL00305","2500000","13290885","6","5264137","5.3163540000000000"
"POL00023","2500000","13248334","4","2975498","5.2993336000000000"
"POL00127","1000000","13198934","4","3247999","13.1989340000000000"
"POL00340","5000000","13115052","3","9155660","2.6230104000000000"
"POL00033","25000000","12961639","4","0","0.51846556000000000000"
"POL00011","1000000","12929621","5","10094353","12.9296210000000000"
"POL00185","25000000","12805319","5","6005734","0.51221276000000000000"
"POL00136","25000000","12758086","4","2506320","0.51032344000000000000"
"POL00061","1000000","12721876","4","6884486","12.7218760000000000"
"POL00005","25000000","12540218","4","9509971","0.50160872000000000000"
"POL00113","10000000","12518098","4","10054951","1.2518098000000000"
"POL00198","1000000","12408748","4","0","12.4087480000000000"
"POL00212","2500000","12395713","5","1680901","4.9582852000000000"
"POL00237","10000000","12378374","4","8707411","1.2378374000000000"
"POL00293","10000000","12348257","3","0","1.2348257000000000"
"POL00298","10000000","12323020","3","4636696","1.2323020000000000"
"POL00139","5000000","12299309","3","4560486","2.4598618000000000"
"POL00327","1000000","12227515","5","2908287","12.2275150000000000"
"POL00153","2500000","12211766","3","4602941","4.8847064000000000"
"POL00066","1000000","12148687","4","0","12.1486870000000000"
"POL00179","2500000","12137852","3","0","4.8551408000000000"
"POL00057","25000000","11987514","5","9356491","0.47950056000000000000"
"POL00095","10000000","11925004","4","4045933","1.1925004000000000"
"POL00142","5000000","11908781","4","8491724","2.3817562000000000"
"POL00070","10000000","11858796","4","2282891","1.1858796000000000"
"POL00201","10000000","11816075","3","0","1.1816075000000000"
"POL00260","10000000","11721226","3","6421376","1.1721226000000000"
"POL00082","1000000","11628334","4","4941294","11.6283340000000000"
"POL00265","2500000","11508657","3","3285749","4.6034628000000000"
"POL00278","10000000","11502684","3","8712919","1.1502684000000000"
"POL00332","5000000","11472633","3","2918957","2.2945266000000000"
"POL00266","25000000","11416069","5","0","0.45664276000000000000"
"POL00025","10000000","11387600","4","5642944","1.1387600000000000"
"POL00024","1000000","11371861","4","3807124","11.3718610000000000"
"POL00151","25000000","11249686","3","4536750","0.44998744000000000000"
"POL00017","25000000","11062918","3","4051072","0.44251672000000000000"
"POL00015","25000000","11033167","4","4234768","0.44132668000000000000"
"POL00041","2500000","11012993","3","0","4.4051972000000000"
"POL00026","1000000","10907940","4","723432","10.9079400000000000"
"POL00079","1000000","10907762","3","0","10.9077620000000000"
"POL00138","5000000","10865283","4","3973545","2.1730566000000000"
"POL00068","1000000","10792991","4","5462894","10.7929910000000000"
"POL00270","1000000","10707826","4","5189258","10.7078260000000000"
"POL00334","5000000","10649748","3","6239140","2.1299496000000000"
"POL00220","5000000","10640192","3","3309361","2.1280384000000000"
"POL00118","2500000","10626366","3","3649630","4.2505464000000000"
"POL00227","1000000","10623926","3","3304243","10.6239260000000000"
"POL00074","1000000","10619621","3","4310254","10.6196210000000000"
"POL00216","10000000","10563050","3","4392679","1.0563050000000000"
"POL00116","1000000","10547028","3","7529832","10.5470280000000000"
"POL00056","1000000","10445562","3","3039965","10.4455620000000000"
"POL00346","25000000","10341309","3","0","0.41365236000000000000"
"POL00060","1000000","10288721","3","4851827","10.2887210000000000"
"POL00039","5000000","10218717","4","3394155","2.0437434000000000"
"POL00192","5000000","10186787","4","4978470","2.0373574000000000"
"POL00313","25000000","10163450","3","0","0.40653800000000000000"
"POL00162","10000000","10149455","3","8189277","1.0149455000000000"
"POL00132","10000000","10072908","4","1391754","1.0072908000000000"
"POL00250","1000000","10027742","3","7036109","10.0277420000000000"
"POL00163","10000000","10024870","3","4252680","1.0024870000000000"
"POL00272","1000000","10012387","4","4149674","10.0123870000000000"
"POL00300","1000000","10007421","4","2802464","10.0074210000000000"
"POL00202","25000000","9990119","4","0","0.39960476000000000000"
"POL00062","25000000","9954511","4","3260953","0.39818044000000000000"
"POL00191","10000000","9945976","3","0","0.99459760000000000000"
"POL00304","2500000","9884979","2","5387733","3.9539916000000000"
"POL00210","5000000","9869776","4","2639110","1.9739552000000000"
"POL00037","5000000","9831140","2","4746472","1.9662280000000000"
"POL00165","2500000","9824804","3","5676341","3.9299216000000000"
"POL00307","25000000","9805310","3","0","0.39221240000000000000"
"POL00209","2500000","9783420","4","7880171","3.9133680000000000"
"POL00325","1000000","9755107","4","0","9.7551070000000000"
"POL00217","2500000","9731657","4","7073493","3.8926628000000000"
"POL00321","1000000","9718636","3","4813178","9.7186360000000000"
"POL00051","2500000","9627420","3","4749049","3.8509680000000000"
"POL00075","10000000","9614577","3","2685991","0.96145770000000000000"
"POL00088","5000000","9501503","4","6148809","1.9003006000000000"
"POL00134","5000000","9427616","3","3722486","1.8855232000000000"
"POL00187","2500000","9417113","2","4804316","3.7668452000000000"
"POL00044","10000000","9400125","4","2902693","0.94001250000000000000"
"POL00175","2500000","9314024","3","0","3.7256096000000000"
"POL00106","5000000","9282226","3","7076362","1.8564452000000000"
"POL00091","25000000","9263362","4","3355445","0.37053448000000000000"
"POL00271","1000000","9245400","4","1471078","9.2454000000000000"
"POL00342","1000000","9187401","4","3718837","9.1874010000000000"
"POL00169","1000000","9132181","3","0","9.1321810000000000"
"POL00109","5000000","9127796","4","2166413","1.8255592000000000"
"POL00008","5000000","9080646","4","2308907","1.8161292000000000"
"POL00280","25000000","9079439","3","6642799","0.36317756000000000000"
"POL00164","1000000","8956769","3","0","8.9567690000000000"
"POL00234","25000000","8902285","3","0","0.35609140000000000000"
"POL00249","10000000","8885672","3","0","0.88856720000000000000"
"POL00170","2500000","8809595","3","0","3.5238380000000000"
"POL00159","5000000","8808134","5","0","1.7616268000000000"
"POL00090","10000000","8771957","4","0","0.87719570000000000000"
"POL00267","1000000","8771705","3","3435725","8.7717050000000000"
"POL00043","1000000","8767885","3","6160508","8.7678850000000000"
"POL00324","25000000","8575143","2","0","0.34300572000000000000"
"POL00291","25000000","8574517","3","3221125","0.34298068000000000000"
"POL00292","5000000","8554165","2","3751598","1.7108330000000000"
"POL00034","5000000","8554005","2","0","1.7108010000000000"
"POL00208","2500000","8487240","2","0","3.3948960000000000"
"POL00213","25000000","8462855","3","5677179","0.33851420000000000000"
"POL00273","1000000","8455510","2","3763266","8.4555100000000000"
"POL00040","5000000","8273735","3","2560698","1.6547470000000000"
"POL00073","2500000","8253503","2","3454402","3.3014012000000000"
"POL00335","1000000","8234374","3","755435","8.2343740000000000"
"POL00320","2500000","8145169","2","0","3.2580676000000000"
"POL00286","1000000","8100236","2","0","8.1002360000000000"
"POL00150","5000000","8074616","5","5230178","1.6149232000000000"
"POL00030","10000000","8054597","3","1504835","0.80545970000000000000"
"POL00290","2500000","7977213","2","2944350","3.1908852000000000"
"POL00076","10000000","7966182","3","2499139","0.79661820000000000000"
"POL00330","5000000","7957886","2","0","1.5915772000000000"
"POL00027","5000000","7933869","3","0","1.5867738000000000"
"POL00197","1000000","7917265","3","2406560","7.9172650000000000"
"POL00301","1000000","7900142","3","0","7.9001420000000000"
"POL00284","25000000","7899830","4","997431","0.31599320000000000000"
"POL00181","2500000","7876855","3","0","3.1507420000000000"
"POL00203","25000000","7866874","3","2271107","0.31467496000000000000"
"POL00228","25000000","7863620","2","0","0.31454480000000000000"
"POL00230","1000000","7842262","3","1616811","7.8422620000000000"
"POL00196","2500000","7839126","3","2535543","3.1356504000000000"
"POL00018","5000000","7706858","3","0","1.5413716000000000"
"POL00080","25000000","7681101","2","0","0.30724404000000000000"
"POL00121","1000000","7680783","2","4821543","7.6807830000000000"
"POL00182","25000000","7655389","3","0","0.30621556000000000000"
"POL00117","1000000","7614478","3","3077879","7.6144780000000000"
"POL00156","5000000","7591914","2","0","1.5183828000000000"
"POL00078","1000000","7516098","4","7516098","7.5160980000000000"
"POL00211","1000000","7513062","2","7513062","7.5130620000000000"
"POL00264","10000000","7511684","2","3130566","0.75116840000000000000"
"POL00067","2500000","7505460","3","2632065","3.0021840000000000"
"POL00177","1000000","7449378","2","0","7.4493780000000000"
"POL00168","10000000","7396982","2","0","0.73969820000000000000"
"POL00297","5000000","7290536","4","0","1.4581072000000000"
"POL00306","5000000","7213201","3","0","1.4426402000000000"
"POL00274","5000000","7198742","3","3620129","1.4397484000000000"
"POL00253","2500000","7036235","3","5033137","2.8144940000000000"
"POL00318","1000000","7008622","2","2932846","7.0086220000000000"
"POL00069","1000000","6980945","2","2498718","6.9809450000000000"
"POL00344","5000000","6896918","2","2344350","1.3793836000000000"
"POL00236","1000000","6868779","2","1233933","6.8687790000000000"
"POL00038","1000000","6859735","3","1744023","6.8597350000000000"
"POL00282","2500000","6843929","3","0","2.7375716000000000"
"POL00161","5000000","6837990","2","6837990","1.3675980000000000"
"POL00254","1000000","6834574","2","3383283","6.8345740000000000"
"POL00223","25000000","6725570","3","0","0.26902280000000000000"
"POL00143","2500000","6606811","4","6606811","2.6427244000000000"
"POL00314","2500000","6564963","2","0","2.6259852000000000"
"POL00158","10000000","6523444","2","6523444","0.65234440000000000000"
"POL00349","2500000","6463878","2","6463878","2.5855512000000000"
"POL00277","2500000","6462155","3","1719163","2.5848620000000000"
"POL00195","2500000","6433744","2","0","2.5734976000000000"
"POL00160","25000000","6354448","2","0","0.25417792000000000000"
"POL00329","25000000","6325955","2","0","0.25303820000000000000"
"POL00166","25000000","6320593","3","1834961","0.25282372000000000000"
"POL00119","1000000","6274975","2","1396588","6.2749750000000000"
"POL00157","1000000","6262569","3","0","6.2625690000000000"
"POL00246","10000000","6152811","2","0","0.61528110000000000000"
"POL00004","5000000","6144270","2","3528546","1.2288540000000000"
"POL00245","2500000","6101698","2","2493762","2.4406792000000000"
"POL00235","1000000","6046389","2","5306433","6.0463890000000000"
"POL00098","5000000","6039630","2","2254631","1.2079260000000000"
"POL00123","2500000","6032781","2","1431104","2.4131124000000000"
"POL00214","5000000","6024186","3","479465","1.2048372000000000"
"POL00108","2500000","5951013","3","0","2.3804052000000000"
"POL00087","1000000","5945740","2","0","5.9457400000000000"
"POL00114","1000000","5919023","2","3436806","5.9190230000000000"
"POL00336","5000000","5881621","2","4201047","1.1763242000000000"
"POL00339","1000000","5881590","2","0","5.8815900000000000"
"POL00071","25000000","5793774","3","1244243","0.23175096000000000000"
"POL00268","10000000","5741963","2","0","0.57419630000000000000"
"POL00225","2500000","5716289","2","0","2.2865156000000000"
"POL00186","10000000","5564323","2","1367569","0.55643230000000000000"
"POL00049","25000000","5411311","2","1370303","0.21645244000000000000"
"POL00347","25000000","5405507","2","1595419","0.21622028000000000000"
"POL00133","10000000","5368226","1","5368226","0.53682260000000000000"
"POL00299","5000000","5311772","3","0","1.0623544000000000"
"POL00242","25000000","5308914","2","0","0.21235656000000000000"
"POL00003","10000000","5308231","1","5308231","0.53082310000000000000"
"POL00294","10000000","5260851","2","0","0.52608510000000000000"
"POL00263","1000000","5226685","2","770398","5.2266850000000000"
"POL00126","25000000","5212058","1","0","0.20848232000000000000"
"POL00183","25000000","5070492","2","0","0.20281968000000000000"
"POL00204","2500000","4977795","1","0","1.9911180000000000"
"POL00022","25000000","4970331","1","0","0.19881324000000000000"
"POL00193","5000000","4955202","3","1890534","0.99104040000000000000"
"POL00103","5000000","4937522","2","3144835","0.98750440000000000000"
"POL00124","25000000","4875499","1","4875499","0.19501996000000000000"
"POL00229","5000000","4875432","2","4875432","0.97508640000000000000"
"POL00014","25000000","4776498","2","2961947","0.19105992000000000000"
"POL00089","10000000","4742587","1","4742587","0.47425870000000000000"
"POL00178","10000000","4739466","2","0","0.47394660000000000000"
"POL00343","1000000","4699246","2","0","4.6992460000000000"
"POL00063","25000000","4623788","2","0","0.18495152000000000000"
"POL00021","10000000","4565196","1","4565196","0.45651960000000000000"
"POL00152","10000000","4519564","1","4519564","0.45195640000000000000"
"POL00243","1000000","4508818","2","0","4.5088180000000000"
"POL00172","25000000","4480143","2","0","0.17920572000000000000"
"POL00053","5000000","4477590","1","0","0.89551800000000000000"
"POL00046","10000000","4440953","2","0","0.44409530000000000000"
"POL00189","2500000","4352031","3","0","1.7408124000000000"
"POL00323","10000000","4335804","2","4335804","0.43358040000000000000"
"POL00020","1000000","4245671","2","0","4.2456710000000000"
"POL00184","10000000","4215278","2","2013869","0.42152780000000000000"
"POL00289","1000000","4207924","2","2913998","4.2079240000000000"
"POL00111","1000000","4152615","2","1679420","4.1526150000000000"
"POL00045","10000000","4102652","1","0","0.41026520000000000000"
"POL00199","25000000","4094704","1","0","0.16378816000000000000"
"POL00239","25000000","4088152","1","4088152","0.16352608000000000000"
"POL00317","2500000","4069721","2","0","1.6278884000000000"
"POL00077","10000000","3948942","1","3948942","0.39489420000000000000"
"POL00083","10000000","3890658","1","0","0.38906580000000000000"
"POL00345","25000000","3807355","2","2662486","0.15229420000000000000"
"POL00171","10000000","3805323","2","1592388","0.38053230000000000000"
"POL00140","25000000","3754803","2","2284864","0.15019212000000000000"
"POL00188","1000000","3745685","1","3745685","3.7456850000000000"
"POL00279","1000000","3735037","1","0","3.7350370000000000"
"POL00035","25000000","3683702","1","0","0.14734808000000000000"
"POL00016","1000000","3674634","2","1082120","3.6746340000000000"
"POL00100","5000000","3668919","1","3668919","0.73378380000000000000"
"POL00247","10000000","3613841","1","0","0.36138410000000000000"
"POL00167","25000000","3610294","1","3610294","0.14441176000000000000"
"POL00012","5000000","3566157","2","3566157","0.71323140000000000000"
"POL00052","2500000","3503521","1","0","1.4014084000000000"
"POL00085","2500000","3359495","3","2295507","1.3437980000000000"
"POL00002","2500000","3225425","1","0","1.2901700000000000"
"POL00215","25000000","3154677","1","3154677","0.12618708000000000000"
"POL00219","1000000","2992964","1","0","2.9929640000000000"
