"policy_id","total_policy_tiv","policy_limit_usd","zone_location_count","hazard_band","zone_tiv","hazard_zone_id","hazard_zone_share_of_policy_tiv","zone_tiv_to_limit_ratio"
"POL00275","26042029","2500000","2","Severe","8580608","HZ-W-07","32.9490762797322743170000","3.4322432000000000"
"POL00072","14704067","1000000","2","Low","6414105","HZ-C-11","43.6212987876075374250000","6.4141050000000000"
"POL00169","9132181","1000000","2","High","5876196","HZ-E-20","64.3460308112596541830000","5.8761960000000000"
"POL00179","12137852","2500000","1","High","5775156","HZ-E-20","47.5797200361315989020000","2.3100624000000000"
"POL00348","17978735","5000000","1","High","5676477","HZ-C-01","31.5732836598347992780000","1.1352954000000000"
"POL00330","7957886","5000000","1","Moderate","5640897","HZ-W-13","70.8843655211949505180000","1.1281794000000000"
"POL00058","20103783","2500000","1","Low","5640844","HZ-S-20","28.0586196140298569680000","2.2563376000000000"
"POL00236","6868779","1000000","1","High","5634846","HZ-C-15","82.0356281662286703360000","5.6348460000000000"
"POL00142","11908781","5000000","1","Severe","5509885","HZ-S-14","46.2674139359855555330000","1.1019770000000000"
"POL00208","8487240","2500000","1","Moderate","5505762","HZ-C-08","64.8710534873527789950000","2.2023048000000000"
"POL00265","11508657","2500000","1","Low","5492977","HZ-C-05","47.7290877641066199120000","2.1971908000000000"
"POL00026","10907940","1000000","2","Moderate","5457863","HZ-E-01","50.0356895985859841550000","5.4578630000000000"
"POL00304","9884979","2500000","1","Severe","5387733","HZ-N-11","54.5042432563589664680000","2.1550932000000000"
"POL00296","13735214","1000000","1","Low","5378277","HZ-C-17","39.1568489577228283450000","5.3782770000000000"
"POL00276","17632690","2500000","1","Severe","5339805","HZ-W-14","30.2835528782051972780000","2.1359220000000000"
"POL00128","13739647","2500000","1","Severe","5330686","HZ-W-01","38.7978381103968682750000","2.1322744000000000"
"POL00331","19638970","2500000","1","Severe","5319970","HZ-S-03","27.0888442723829202860000","2.1279880000000000"
"POL00023","13248334","2500000","1","Low","5314161","HZ-W-04","40.1119189778880876640000","2.1256644000000000"
"POL00235","6046389","1000000","1","Severe","5306433","HZ-W-05","87.7620179581565129200000","5.3064330000000000"
"POL00039","10218717","5000000","1","Moderate","5274022","HZ-N-13","51.6113911364802450250000","1.0548044000000000"
"POL00149","15271207","1000000","1","Low","5256013","HZ-W-02","34.4177968381936018550000","5.2560130000000000"
"POL00072","14704067","1000000","1","High","5240905","HZ-E-19","35.6425538594186220720000","5.2409050000000000"
"POL00257","15209240","1000000","1","Low","5213840","HZ-S-09","34.2807398660288088030000","5.2138400000000000"
"POL00006","14458101","5000000","1","High","5173690","HZ-W-06","35.7840217052018103900000","1.0347380000000000"
"POL00034","8554005","5000000","1","Low","5145147","HZ-S-09","60.1489828448779256030000","1.0290294000000000"
"POL00037","9831140","5000000","1","Moderate","5084668","HZ-E-17","51.7200243308507456920000","1.0169336000000000"
"POL00154","15793791","5000000","1","Low","5065506","HZ-C-02","32.0727683429519866380000","1.0131012000000000"
"POL00233","19094045","1000000","1","Severe","5052187","HZ-W-20","26.4594903803777565200000","5.0521870000000000"
"POL00257","15209240","1000000","1","Moderate","5049506","HZ-W-13","33.2002519521028006660000","5.0495060000000000"
"POL00233","19094045","1000000","1","High","5049341","HZ-S-17","26.4445852096818667810000","5.0493410000000000"
"POL00290","7977213","2500000","1","Low","5032863","HZ-C-03","63.0904928826646599510000","2.0131452000000000"
"POL00135","16869689","1000000","1","Moderate","4987645","HZ-S-11","29.5657199133902231390000","4.9876450000000000"
"POL00204","4977795","2500000","1","Moderate","4977795","HZ-E-17","100.0000000000000000000000","1.9911180000000000"
"POL00082","11628334","1000000","2","Severe","4941294","HZ-C-10","42.4935678662136811690000","4.9412940000000000"
"POL00286","8100236","1000000","1","Low","4925145","HZ-C-11","60.8024877299871263010000","4.9251450000000000"
"POL00137","16212523","2500000","1","Moderate","4888485","HZ-E-01","30.1525246872433118520000","1.9553940000000000"
"POL00116","10547028","1000000","1","Severe","4884163","HZ-N-03","46.3084292560899620250000","4.8841630000000000"
"POL00119","6274975","1000000","1","Low","4878387","HZ-N-17","77.7435288586807118750000","4.8783870000000000"
"POL00149","15271207","1000000","1","High","4865771","HZ-C-12","31.8623865160101621310000","4.8657710000000000"
"POL00209","9783420","2500000","1","Severe","4853628","HZ-E-04","49.6107496151652489620000","1.9414512000000000"
"POL00060","10288721","1000000","1","Severe","4851827","HZ-E-18","47.1567554412253962370000","4.8518270000000000"
"POL00121","7680783","1000000","1","Severe","4821543","HZ-W-01","62.7741077960411067470000","4.8215430000000000"
"POL00321","9718636","1000000","1","Severe","4813178","HZ-E-09","49.5252420195591233170000","4.8131780000000000"
"POL00211","7513062","1000000","1","Severe","4810977","HZ-E-18","64.0348369280061844290000","4.8109770000000000"
"POL00187","9417113","2500000","1","Severe","4804316","HZ-W-20","51.0168668465590250430000","1.9217264000000000"
"POL00073","8253503","2500000","1","Low","4799101","HZ-W-11","58.1462319696255032560000","1.9196404000000000"
"POL00315","14728435","1000000","1","Moderate","4778204","HZ-N-06","32.4420347443567493760000","4.7782040000000000"
"POL00079","10907762","1000000","1","Low","4761218","HZ-W-02","43.6498156083713597710000","4.7612180000000000"
"POL00051","9627420","2500000","1","Severe","4749049","HZ-E-02","49.3283662705065323840000","1.8996196000000000"
"POL00241","18090461","1000000","1","Severe","4747774","HZ-E-09","26.2446269334982674020000","4.7477740000000000"
"POL00241","18090461","1000000","1","Moderate","4735928","HZ-E-16","26.1791449095741672920000","4.7359280000000000"
"POL00270","10707826","1000000","1","Low","4730721","HZ-W-11","44.1800324360892677930000","4.7307210000000000"
"POL00026","10907940","1000000","1","Low","4726645","HZ-S-20","43.3321507085664204240000","4.7266450000000000"
"POL00315","14728435","1000000","1","Severe","4724936","HZ-C-10","32.0803669907902638670000","4.7249360000000000"
"POL00068","10792991","1000000","1","Moderate","4715608","HZ-W-15","43.6913919413070945760000","4.7156080000000000"
"POL00145","14742294","2500000","1","Moderate","4704133","HZ-S-15","31.9090977292950472970000","1.8816532000000000"
"POL00179","12137852","2500000","1","Moderate","4699766","HZ-S-11","38.7199151876295739970000","1.8799064000000000"
"POL00028","16454333","2500000","1","Severe","4695479","HZ-N-03","28.5364286720099805930000","1.8781916000000000"
"POL00273","8455510","1000000","1","Low","4692244","HZ-W-10","55.4933292019050299750000","4.6922440000000000"
"POL00335","8234374","1000000","1","Moderate","4666035","HZ-W-17","56.6653275646697611740000","4.6660350000000000"
"POL00024","11371861","1000000","1","Moderate","4659049","HZ-S-13","40.9699784406439719940000","4.6590490000000000"
"POL00232","16628995","1000000","1","Severe","4650638","HZ-W-14","27.9670419048174589020000","4.6506380000000000"
"POL00197","7917265","1000000","1","High","4634981","HZ-C-12","58.5427038251214276650000","4.6349810000000000"
"POL00187","9417113","2500000","1","High","4612797","HZ-E-15","48.9831331534409749570000","1.8451188000000000"
"POL00153","12211766","2500000","1","Severe","4602941","HZ-E-14","37.6926727878670456020000","1.8411764000000000"
"POL00123","6032781","2500000","1","Moderate","4601677","HZ-E-12","76.2778725102071499030000","1.8406708000000000"
"POL00019","14694236","1000000","1","Severe","4601004","HZ-S-14","31.3116245036489137650000","4.6010040000000000"
"POL00241","18090461","1000000","1","Moderate","4579165","HZ-N-07","25.3125943003884754510000","4.5791650000000000"
"POL00314","6564963","2500000","1","Moderate","4567062","HZ-W-18","69.5672161442494039950000","1.8268248000000000"
"POL00251","17378063","2500000","1","Moderate","4562349","HZ-W-17","26.2534955708239750310000","1.8249396000000000"
"POL00195","6433744","2500000","1","Low","4556607","HZ-E-06","70.8235671173736474440000","1.8226428000000000"
"POL00054","14988151","2500000","1","Severe","4555707","HZ-C-04","30.3953903320029268450000","1.8222828000000000"
"POL00217","9731657","2500000","1","Severe","4555646","HZ-W-05","46.8126445475832121910000","1.8222584000000000"
"POL00296","13735214","1000000","1","Moderate","4542691","HZ-S-11","33.0733179694178772900000","4.5426910000000000"
