"state","total_state_tiv","state_location_count","hazard_zone_id","state_zone_tiv","zone_location_count","zone_share_tiv"
"TX","204858263","65","HZ-S-06","35321897","12","17.24211485674854130700"
"PA","177285711","59","HZ-N-17","24290394","7","13.70127003636519809500"
"MA","126295293","46","HZ-N-14","16685218","6","13.21127462763002576800"
"VA","264645630","91","HZ-E-18","32009353","10","12.09517534825721475200"
"FL","213279569","72","HZ-S-14","25614731","9","12.00993190304130819000"
"CA","143602006","47","HZ-W-12","16785498","6","11.68890217313538085300"
"OK","161672074","51","HZ-C-17","18407563","5","11.38574061961993510400"
"NY","173631037","58","HZ-N-14","19733153","6","11.36499173244009364500"
"NJ","273661493","85","HZ-E-09","29442521","8","10.75873725500722894900"
"OR","219492689","62","HZ-W-11","23569498","6","10.73816996246284995900"
"MO","206756099","69","HZ-C-11","21926783","7","10.60514447024849312900"
"NC","265998514","91","HZ-E-19","28076370","10","10.55508528141627137100"
"IL","166364326","58","HZ-C-20","17548353","6","10.54814660205457749400"
"WA","213465957","63","HZ-W-13","21880870","6","10.25028548228886913300"
"LA","251183156","83","HZ-S-02","24219125","9","9.64201795442047873600"
